Category,Product Name,Price,Image URL
Vegetables,Ash Plantains,Rs 180.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic914000.jpg
Vegetables,Batana,Rs 280.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic914004.jpg
Vegetables,Beetroot,Rs 120.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic915002.jpg
Vegetables,Bell Pepper Green,Rs 850.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic913005.jpg
Vegetables,Bell Pepper Red,Rs 920.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic913006.jpg
Vegetables,Bell Pepper Yellow,Rs 820.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic913007.jpg
Vegetables,Big Onions,Rs 220.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic914006.jpg
Vegetables,Bitter Gourd,Rs 290.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic914007.jpg
Vegetables,Brinjals,Rs 450.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic914008.jpg
Vegetables,Broccoli,"Rs 1,710.00 / KG",https://essstr.blob.core.windows.net/essimg/350x/Small/Pic913008.jpg
Vegetables,Cabbage,Rs 210.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic915005.jpg
Vegetables,Cabbage Leaves,Rs 320.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic913012.jpg
Vegetables,Capsicum,Rs 390.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic915006.jpg
Vegetables,Carrot,Rs 500.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic915007.jpg
Vegetables,Cauliflower,Rs 440.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic913014.jpg
Vegetables,Celery,Rs 360.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic913015.jpg
Vegetables,Cherry Tomato,"Rs 1,440.00 / KG",https://essstr.blob.core.windows.net/essimg/350x/Small/Pic913016.jpg
Vegetables,Chinese Cabbage,Rs 380.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic913017.jpg
